"Anno bersaglio","Indicatore","Azienda","Azienda di riferimento","Valore","Valutazione","Numeratore","Denominatore","Categoria"
"2019","C16.11","AV Nord Ovest","Toscana","16.25","3.44","0","0","Area Vasta"
"2019","C16.11","AV Centro","Toscana","13.57","4.07","0","0","Area Vasta"
"2019","C16.11","AV Sud Est","Toscana","18.00","3.00","0","0","Area Vasta"
"2019","C16.11","AUSL Nord Ovest","AV Nord Ovest","16.25","3.44","0","0","Azienda Territoriale"
"2019","C16.11","AUSL Centro","AV Centro","13.57","4.07","0","0","Azienda Territoriale"
"2019","C16.11","AUSL Sud Est","AV Sud Est","18.00","3.00","0","0","Azienda Territoriale"
"2022","C16.11","Toscana","Toscana","17.98","3.00","17.98","1","Regione"
"2021","C16.11","Toscana","Toscana","17.83","3.04","17.83","1","Regione"
"2020","C16.11","Toscana","Toscana","17.50","3.13","17.5","1","Regione"
"2019","C16.11","Toscana","Toscana","15.00","3.75","0","0","Regione"
"2022","C16.11","Pratese","AUSL Centro","18.55","2.86","18.55","1","Zona Distretto"
"2022","C16.11","Amiata senese e Val d'Orcia- Valdichiana senese","AUSL Sud Est","27.00","0.93","27","1","Zona Distretto"
"2022","C16.11","Firenze","AUSL Centro","15.03","3.74","15.03","1","Zona Distretto"
"2022","C16.11","Pisana","AUSL Nord Ovest","23.06","1.73","23.06","1","Zona Distretto"
"2022","C16.11","Casentino","AUSL Sud Est","29.00","0.79","29","1","Zona Distretto"
"2022","C16.11","Fiorentina Nord-Ovest","AUSL Centro","18.37","2.91","18.37","1","Zona Distretto"
"2022","C16.11","Alta Val di Cecina - Val d'Era","AUSL Nord Ovest","22.37","1.91","22.37","1","Zona Distretto"
"2022","C16.11","Valtiberina","AUSL Sud Est","23.00","1.75","23","1","Zona Distretto"
"2022","C16.11","Fiorentina Sud-Est","AUSL Centro","21.27","2.18","21.27","1","Zona Distretto"
"2022","C16.11","Lunigiana","AUSL Nord Ovest","24.68","1.33","24.68","1","Zona Distretto"
"2022","C16.11","Livornese","AUSL Nord Ovest","16.32","3.42","16.32","1","Zona Distretto"
"2022","C16.11","Val di Chiana Aretina","AUSL Sud Est","23.00","1.75","23","1","Zona Distretto"
"2022","C16.11","Mugello","AUSL Centro","19.81","2.55","19.81","1","Zona Distretto"
"2022","C16.11","Apuane","AUSL Nord Ovest","17.50","3.13","17.5","1","Zona Distretto"
"2022","C16.11","Valle del Serchio","AUSL Nord Ovest","26.13","0.99","26.13","1","Zona Distretto"
"2022","C16.11","Elba","AUSL Nord Ovest","29.35","0.76","29.35","1","Zona Distretto"
"2022","C16.11","Aretina","AUSL Sud Est","21.25","2.19","21.25","1","Zona Distretto"
"2022","C16.11","Empolese -Valdarno Inferiore","AUSL Centro","22.85","1.79","22.85","1","Zona Distretto"
"2022","C16.11","Piana di Lucca","AUSL Nord Ovest","21.15","2.21","21.15","1","Zona Distretto"
"2022","C16.11","Bassa Val di Cecina - Val di Cornia","AUSL Nord Ovest","23.37","1.66","23.37","1","Zona Distretto"
"2022","C16.11","Valdarno","AUSL Sud Est","24.00","1.50","24","1","Zona Distretto"
"2022","C16.11","Versilia","AUSL Nord Ovest","16.82","3.30","16.82","1","Zona Distretto"
"2022","C16.11","Pistoiese","AUSL Centro","23.00","1.75","23","1","Zona Distretto"
"2022","C16.11","Alta Val d'Elsa","AUSL Sud Est","22.00","2.00","22","1","Zona Distretto"
"2022","C16.11","Colline dell'Albegna","AUSL Sud Est","31.00","0.64","31","1","Zona Distretto"
"2022","C16.11","Val di Nievole","AUSL Centro","22.68","1.83","22.68","1","Zona Distretto"
"2022","C16.11","Senese","AUSL Sud Est","31.00","0.64","31","1","Zona Distretto"
"2022","C16.11","Amiata Grossetana - Colline Metallifere - Grossetana","AUSL Sud Est","28.00","0.86","28","1","Zona Distretto"
"2021","C16.11","Valle del Serchio","AUSL Nord Ovest","23.25","1.69","23.25","1","Zona Distretto"
"2021","C16.11","Elba","AUSL Nord Ovest","24.78","1.30","24.78","1","Zona Distretto"
"2021","C16.11","Aretina","AUSL Sud Est","20.00","2.50","20","1","Zona Distretto"
"2021","C16.11","Empolese -Valdarno Inferiore","AUSL Centro","19.17","2.71","19.17","1","Zona Distretto"
"2021","C16.11","Piana di Lucca","AUSL Nord Ovest","18.65","2.84","18.65","1","Zona Distretto"
"2021","C16.11","Bassa Val di Cecina - Val di Cornia","AUSL Nord Ovest","17.93","3.02","17.93","1","Zona Distretto"
"2021","C16.11","Valdarno","AUSL Sud Est","23.50","1.63","23.5","1","Zona Distretto"
"2021","C16.11","Versilia","AUSL Nord Ovest","14.75","3.81","14.75","1","Zona Distretto"
"2021","C16.11","Pistoiese","AUSL Centro","20.15","2.46","20.15","1","Zona Distretto"
"2021","C16.11","Alta Val d'Elsa","AUSL Sud Est","20.00","2.50","20","1","Zona Distretto"
"2021","C16.11","Colline dell'Albegna","AUSL Sud Est","25.00","1.25","25","1","Zona Distretto"
"2021","C16.11","Val di Nievole","AUSL Centro","18.60","2.85","18.6","1","Zona Distretto"
"2021","C16.11","Senese","AUSL Sud Est","26.00","1.00","26","1","Zona Distretto"
"2021","C16.11","Amiata Grossetana - Colline Metallifere - Grossetana","AUSL Sud Est","21.00","2.25","21","1","Zona Distretto"
"2021","C16.11","Pratese","AUSL Centro","18.28","2.93","18.28","1","Zona Distretto"
"2021","C16.11","Amiata senese e Val d'Orcia- Valdichiana senese","AUSL Sud Est","26.00","1.00","26","1","Zona Distretto"
"2021","C16.11","Firenze","AUSL Centro","15.45","3.64","15.45","1","Zona Distretto"
"2021","C16.11","Pisana","AUSL Nord Ovest","21.12","2.22","21.12","1","Zona Distretto"
"2021","C16.11","Casentino","AUSL Sud Est","40.00","0.00","40","1","Zona Distretto"
"2021","C16.11","Fiorentina Nord-Ovest","AUSL Centro","17.58","3.10","17.58","1","Zona Distretto"
"2021","C16.11","Lunigiana","AUSL Nord Ovest","20.08","2.48","20.08","1","Zona Distretto"
"2021","C16.11","Alta Val di Cecina - Val d'Era","AUSL Nord Ovest","18.57","2.86","18.57","1","Zona Distretto"
"2021","C16.11","Valtiberina","AUSL Sud Est","22.00","2.00","22","1","Zona Distretto"
"2021","C16.11","Fiorentina Sud-Est","AUSL Centro","20.56","2.36","20.56","1","Zona Distretto"
"2021","C16.11","Apuane","AUSL Nord Ovest","15.37","3.66","15.37","1","Zona Distretto"
"2021","C16.11","Livornese","AUSL Nord Ovest","14.32","3.92","14.32","1","Zona Distretto"
"2021","C16.11","Val di Chiana Aretina","AUSL Sud Est","24.75","1.31","24.75","1","Zona Distretto"
"2021","C16.11","Mugello","AUSL Centro","20.06","2.49","20.06","1","Zona Distretto"
"2020","C16.11","Pratese","AUSL Centro","16.31","3.42","16.31","1","Zona Distretto"
"2020","C16.11","Amiata senese e Val d'Orcia- Valdichiana senese","AUSL Sud Est","22.00","2.00","22","1","Zona Distretto"
"2020","C16.11","Firenze","AUSL Centro","14.22","3.95","14.22","1","Zona Distretto"
"2020","C16.11","Pisana","AUSL Nord Ovest","20.48","2.38","20.48","1","Zona Distretto"
"2020","C16.11","Casentino","AUSL Sud Est","22.00","2.00","22","1","Zona Distretto"
"2020","C16.11","Fiorentina Nord-Ovest","AUSL Centro","15.77","3.56","15.77","1","Zona Distretto"
"2020","C16.11","Lunigiana","AUSL Nord Ovest","21.33","2.17","21.33","1","Zona Distretto"
"2020","C16.11","Alta Val di Cecina - Val d'Era","AUSL Nord Ovest","17.92","3.02","17.92","1","Zona Distretto"
"2020","C16.11","Valtiberina","AUSL Sud Est","20.00","2.50","20","1","Zona Distretto"
"2020","C16.11","Fiorentina Sud-Est","AUSL Centro","18.52","2.87","18.52","1","Zona Distretto"
"2020","C16.11","Mugello","AUSL Centro","17.67","3.08","17.67","1","Zona Distretto"
"2020","C16.11","Apuane","AUSL Nord Ovest","16.32","3.42","16.32","1","Zona Distretto"
"2020","C16.11","Livornese","AUSL Nord Ovest","15.25","3.69","15.25","1","Zona Distretto"
"2020","C16.11","Val di Chiana Aretina","AUSL Sud Est","18.00","3.00","18","1","Zona Distretto"
"2020","C16.11","Empolese -Valdarno Inferiore","AUSL Centro","17.82","3.05","17.82","1","Zona Distretto"
"2020","C16.11","Valle del Serchio","AUSL Nord Ovest","25.05","1.24","25.05","1","Zona Distretto"
"2020","C16.11","Elba","AUSL Nord Ovest","24.05","1.49","24.05","1","Zona Distretto"
"2020","C16.11","Aretina","AUSL Sud Est","16.00","3.50","16","1","Zona Distretto"
"2020","C16.11","Versilia","AUSL Nord Ovest","15.25","3.69","15.25","1","Zona Distretto"
"2020","C16.11","Piana di Lucca","AUSL Nord Ovest","20.03","2.49","20.03","1","Zona Distretto"
"2020","C16.11","Bassa Val di Cecina - Val di Cornia","AUSL Nord Ovest","18.29","2.93","18.29","1","Zona Distretto"
"2020","C16.11","Valdarno","AUSL Sud Est","19.00","2.75","19","1","Zona Distretto"
"2020","C16.11","Pistoiese","AUSL Centro","18.42","2.90","18.42","1","Zona Distretto"
"2020","C16.11","Alta Val d'Elsa","AUSL Sud Est","19.00","2.75","19","1","Zona Distretto"
"2020","C16.11","Colline dell'Albegna","AUSL Sud Est","20.00","2.50","20","1","Zona Distretto"
"2020","C16.11","Val di Nievole","AUSL Centro","16.72","3.32","16.72","1","Zona Distretto"
"2020","C16.11","Senese","AUSL Sud Est","22.00","2.00","22","1","Zona Distretto"
"2020","C16.11","Amiata Grossetana - Colline Metallifere - Grossetana","AUSL Sud Est","21.00","2.25","21","1","Zona Distretto"
"2019","C16.11","Empolese -Valdarno Inferiore","AUSL Centro","14.50","2.90","0","0","Zona Distretto"
"2019","C16.11","Pisana","AUSL Nord Ovest","18.32","1.26","0","0","Zona Distretto"
"2019","C16.11","Val di Chiana Aretina","AUSL Sud Est","17.00","1.83","0","0","Zona Distretto"
"2019","C16.11","Versilia","AUSL Nord Ovest","13.37","3.38","0","0","Zona Distretto"
"2019","C16.11","Lunigiana","AUSL Nord Ovest","19.07","0.94","0","0","Zona Distretto"
"2019","C16.11","Alta Val di Cecina - Val d'Era","AUSL Nord Ovest","15.93","2.28","0","0","Zona Distretto"
"2019","C16.11","Valdarno","AUSL Sud Est","18.00","1.40","0","0","Zona Distretto"
"2019","C16.11","Apuane","AUSL Nord Ovest","14.23","3.01","0","0","Zona Distretto"
"2019","C16.11","Livornese","AUSL Nord Ovest","13.42","3.36","0","0","Zona Distretto"
"2019","C16.11","Colline dell'Albegna","AUSL Sud Est","19.00","0.97","0","0","Zona Distretto"
"2019","C16.11","Amiata Grossetana - Colline Metallifere - Grossetana","AUSL Sud Est","21.00","0.11","0","0","Zona Distretto"
"2019","C16.11","Valle del Serchio","AUSL Nord Ovest","21.98","0.00","0","0","Zona Distretto"
"2019","C16.11","Elba","AUSL Nord Ovest","22.85","0.00","0","0","Zona Distretto"
"2019","C16.11","Firenze","AUSL Centro","12.07","3.94","0","0","Zona Distretto"
"2019","C16.11","Piana di Lucca","AUSL Nord Ovest","17.78","1.49","0","0","Zona Distretto"
"2019","C16.11","Bassa Val di Cecina - Val di Cornia","AUSL Nord Ovest","16.88","1.88","0","0","Zona Distretto"
"2019","C16.11","Fiorentina Nord-Ovest","AUSL Centro","13.65","3.26","0","0","Zona Distretto"
"2019","C16.11","Pistoiese","AUSL Centro","14.90","2.73","0","0","Zona Distretto"
"2019","C16.11","Alta Val d'Elsa","AUSL Sud Est","19.00","0.97","0","0","Zona Distretto"
"2019","C16.11","Fiorentina Sud-Est","AUSL Centro","16.23","2.16","0","0","Zona Distretto"
"2019","C16.11","Val di Nievole","AUSL Centro","13.85","3.18","0","0","Zona Distretto"
"2019","C16.11","Senese","AUSL Sud Est","21.00","0.11","0","0","Zona Distretto"
"2019","C16.11","Mugello","AUSL Centro","15.13","2.63","0","0","Zona Distretto"
"2019","C16.11","Pratese","AUSL Centro","13.03","3.53","0","0","Zona Distretto"
"2019","C16.11","Amiata senese e Val d'Orcia- Valdichiana senese","AUSL Sud Est","22.00","0.00","0","0","Zona Distretto"